"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
,31-2851-00-796-29-S10N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),300000.00,0.00,123000.00,177000.00,147214.00,29786.00
,31-2851-00-796-30-S00N-20-N-V-OTHER CHARGES,72000000.00,0.00,40707000.00,31293000.00,30363239.00,929761.00
,31-2852-80-796-01-S00N-09-P-V-ADVERTISING & PUBLICITY,300000.00,0.00,200000.00,100000.00,27487.00,72513.00
,31-2853-02-796-01-S00N-01-N-V-SALARIES,6419000.00,0.00,169000.00,6250000.00,4371047.00,1878953.00
,31-2853-02-796-01-S00N-03-N-V-TRAVEL EXPENSES,31000.00,0.00,0.00,31000.00,22922.00,8078.00
,31-2853-02-796-01-S00N-05-N-V-OFFICE EXPENSES,312000.00,0.00,103000.00,209000.00,214939.00,-5939.00
,31-2853-02-796-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,35000.00,0.00,0.00,35000.00,924.00,34076.00
,31-2853-02-796-01-S00N-15-N-V-TRAINING,2000.00,0.00,2000.00,0.00,0.00,0.00
,31-2853-02-796-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),101000.00,0.00,0.00,101000.00,94982.00,6018.00
,31-2853-02-796-01-S00N-31-P-V-MACHINERY & EQUIPMENT,50000.00,0.00,0.00,50000.00,0.00,50000.00
,31-3054-04-796-01-S00N-01-N-V-SALARIES,137416000.00,0.00,16434000.00,120982000.00,109801100.00,11180900.00
,31-3054-04-796-01-S00N-02-N-V-WAGES,36000.00,0.00,36000.00,0.00,0.00,0.00
,31-3054-04-796-01-S00N-03-N-V-TRAVEL EXPENSES,1123000.00,0.00,0.00,1123000.00,919647.00,203353.00
,31-3054-04-796-01-S00N-05-N-V-OFFICE EXPENSES,3003000.00,0.00,0.00,3003000.00,1511265.00,1491735.00
,31-3054-04-796-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,1718000.00,0.00,0.00,1718000.00,1202223.00,515777.00
,31-3054-04-796-01-S00N-64-N-V-TRANSFER EXPENSES,13000.00,0.00,0.00,13000.00,3461.00,9539.00
,31-3054-04-796-02-S00N-01-N-V-SALARIES,1879252000.00,0.00,112378000.00,1766874000.00,731574172.00,1035299828.00
,31-3054-04-796-02-S00N-03-N-V-TRAVEL EXPENSES,2234000.00,0.00,0.00,2234000.00,452452.00,1781548.00
,31-3054-04-796-02-S00N-06-N-V-MEDICAL REIMBURSEMENT,2886000.00,0.00,0.00,2886000.00,637576.00,2248424.00
,31-3054-04-796-02-S00N-64-N-V-TRANSFER EXPENSES,2000.00,0.00,0.00,2000.00,0.00,2000.00
,31-3054-04-796-03-S00N-02-N-V-WAGES,38502000.00,0.00,0.00,38502000.00,18889640.00,19612360.00
,31-3054-04-796-03-S00N-21-N-V-MAINTENANCE,244694000.00,0.00,0.00,244694000.00,0.00,244694000.00
,31-3054-04-796-04-S00N-02-N-C-WAGES,0.00,500000.00,0.00,500000.00,0.00,500000.00
,31-3054-04-796-04-S00N-02-N-V-WAGES,97530000.00,0.00,0.00,97530000.00,47248096.00,50281904.00
,31-3054-04-796-04-S00N-21-N-V-MAINTENANCE,144744000.00,0.00,0.00,144744000.00,0.00,144744000.00
,31-3054-04-796-05-S00N-21-N-V-MAINTENANCE,942187000.00,0.00,110589000.00,831598000.00,0.00,831598000.00
,31-3055-00-796-01-S00N-41-N-V-GRANTS-IN-AID GENERAL (Salary),122400000.00,256500000.00,36428000.00,342472000.00,342472000.00,0.00
,31-3055-00-796-01-S00N-63-N-V-SUBSIDY,154100000.00,0.00,0.00,154100000.00,154100000.00,0.00
,31-3452-80-796-01-S00N-20-P-V-OTHER CHARGES,1500000.00,3139000.00,0.00,4639000.00,3268294.00,1370706.00
,31-3452-80-796-01-S00N-42-P-V-GRANTS-IN-AID GENERAL (Non-Salary),500000.00,4399000.00,0.00,4899000.00,4898005.00,995.00
,31-3452-80-796-01-S00N-44-N-V-GRANTS-IN-AID FOR CAPITAL ASSETS,45000000.00,0.00,45000000.00,0.00,0.00,0.00
,31-3452-80-796-02-S00N-01-P-V-SALARIES,1415000.00,0.00,0.00,1415000.00,1177345.00,237655.00
,31-3452-80-796-02-S00N-03-P-V-TRAVEL EXPENSES,20000.00,0.00,0.00,20000.00,2378.00,17622.00
,31-3452-80-796-02-S00N-05-P-V-OFFICE EXPENSES,32000.00,0.00,0.00,32000.00,31980.00,20.00
,31-3452-80-796-02-S00N-06-P-V-MEDICAL REIMBURSEMENT,53000.00,0.00,0.00,53000.00,18783.00,34217.00
,31-3454-02-796-01-S00N-01-N-V-SALARIES,4833000.00,0.00,0.00,4833000.00,3947443.00,885557.00
,31-3454-02-796-01-S00N-02-N-V-WAGES,233000.00,0.00,0.00,233000.00,230937.00,2063.00
,31-3454-02-796-01-S00N-03-N-V-TRAVEL EXPENSES,33000.00,0.00,0.00,33000.00,28703.00,4297.00
,31-3454-02-796-01-S00N-05-N-V-OFFICE EXPENSES,275000.00,0.00,0.00,275000.00,270821.00,4179.00
,31-3454-02-796-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,19000.00,0.00,0.00,19000.00,7784.00,11216.00
,"31-3454-02-796-01-S00N-07-N-V-RENT, RATES & TAXES",22000.00,0.00,0.00,22000.00,20736.00,1264.00
,31-3454-02-796-01-S00N-21-N-V-MAINTENANCE,1000.00,0.00,0.00,1000.00,0.00,1000.00
,31-3456-00-796-04-C00N-20-P-V-OTHER CHARGES,200000.00,0.00,0.00,200000.00,0.00,200000.00
,31-3475-00-796-01-S00N-01-N-V-SALARIES,664000.00,0.00,0.00,664000.00,636763.00,27237.00
,31-3475-00-796-01-S00N-05-N-V-OFFICE EXPENSES,119000.00,0.00,0.00,119000.00,118982.00,18.00
,31-3475-00-796-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,22000.00,0.00,0.00,22000.00,0.00,22000.00
,31-4055-00-796-01-C90N-31-N-V-MACHINERY & EQUIPMENT,3200000.00,0.00,0.00,3200000.00,3200000.00,0.00
,31-4055-00-796-01-C90N-37-P-V-MAJOR WORKS,6500000.00,0.00,0.00,6500000.00,0.00,6500000.00
,31-4055-00-796-01-S10N-31-N-V-MACHINERY & EQUIPMENT,400000.00,0.00,0.00,400000.00,400000.00,0.00
,31-4055-00-796-01-S10N-37-P-V-MAJOR WORKS,700000.00,0.00,0.00,700000.00,0.00,700000.00
,31-4055-00-796-02-S00N-31-N-V-MACHINERY & EQUIPMENT,0.00,4463000.00,0.00,4463000.00,4463000.00,0.00
,31-4055-00-796-02-S00N-37-P-V-MAJOR WORKS,43200000.00,9473000.00,9463000.00,43210000.00,43210000.00,0.00
,31-4055-00-796-08-S00N-37-P-V-MAJOR WORKS,3300000.00,0.00,0.00,3300000.00,3300000.00,0.00
,31-4059-01-796-02-A00S-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4059-01-796-02-C00N-37-N-V-MAJOR WORKS,100000.00,1900000.00,0.00,2000000.00,0.00,2000000.00
,31-4059-01-796-02-S00N-37-P-V-MAJOR WORKS,50000000.00,21210000.00,0.00,71210000.00,0.00,71210000.00
,31-4059-01-796-04-S00N-37-P-V-MAJOR WORKS,10000000.00,0.00,0.00,10000000.00,10000000.00,0.00
,31-4059-01-796-05-C90N-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4059-01-796-05-S10N-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4059-01-796-12-S00N-37-P-V-MAJOR WORKS,9500000.00,2800000.00,638000.00,11662000.00,11662000.00,0.00
,31-4059-01-796-13-S00N-37-N-V-MAJOR WORKS,9200000.00,15970000.00,0.00,25170000.00,25170000.00,0.00
,31-4059-01-796-14-S00N-37-N-V-MAJOR WORKS,200000.00,0.00,200000.00,0.00,0.00,0.00
,31-4059-60-796-01-S00N-37-P-V-MAJOR WORKS,4500000.00,0.00,0.00,4500000.00,0.00,4500000.00
,31-4070-00-796-01-S00N-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4202-01-796-01-A00S-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4202-01-796-01-C00N-37-P-V-MAJOR WORKS,100000.00,60400000.00,0.00,60500000.00,60500000.00,0.00
,31-4202-01-796-01-S00N-37-P-V-MAJOR WORKS,29200000.00,6376000.00,0.00,35576000.00,35574000.00,2000.00
,31-4202-01-796-03-S00N-37-P-V-MAJOR WORKS,13500000.00,7400000.00,0.00,20900000.00,20899000.00,1000.00
,31-4202-01-796-05-S00N-37-P-V-MAJOR WORKS,24000000.00,2216000.00,0.00,26216000.00,26216000.00,0.00
,31-4202-02-796-01-S00N-37-P-V-MAJOR WORKS,17400000.00,1000000.00,5490000.00,12910000.00,12910000.00,0.00
,31-4202-02-796-02-S00N-37-P-V-MAJOR WORKS,17800000.00,0.00,17800000.00,0.00,0.00,0.00
,31-4202-03-796-01-A00S-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4202-03-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,15900000.00,0.00,16000000.00,16000000.00,0.00
,31-4202-03-796-01-S00N-37-P-V-MAJOR WORKS,8000000.00,7802000.00,0.00,15802000.00,15800000.00,2000.00
,31-4202-03-796-03-S00N-37-P-V-MAJOR WORKS,0.00,1000000.00,0.00,1000000.00,1000000.00,0.00
,31-4202-03-796-04-S00N-37-N-V-MAJOR WORKS,4500000.00,0.00,0.00,4500000.00,3000000.00,1500000.00
,31-4202-04-796-01-S00N-37-P-V-MAJOR WORKS,100000.00,7738000.00,0.00,7838000.00,7819000.00,19000.00
,31-4210-02-796-01-A00S-37-P-V-MAJOR WORKS,100000.00,69900000.00,69900000.00,100000.00,0.00,100000.00
,31-4210-02-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,69900000.00,0.00,70000000.00,70000000.00,0.00
,31-4210-02-796-01-S00N-37-P-V-MAJOR WORKS,131550000.00,0.00,4562000.00,126988000.00,126986964.00,1036.00
,31-4210-03-796-01-S00N-37-P-V-MAJOR WORKS,34950000.00,10000.00,4602000.00,30358000.00,21908000.00,8450000.00
,31-4210-03-796-03-C80N-31-N-V-MACHINERY & EQUIPMENT,10000.00,0.00,10000.00,0.00,0.00,0.00
,31-4210-03-796-03-C80N-37-N-V-MAJOR WORKS,90000.00,0.00,90000.00,0.00,0.00,0.00
,31-4210-03-796-03-S00N-31-P-V-MACHINERY & EQUIPMENT,6200000.00,0.00,0.00,6200000.00,5967391.00,232609.00
,31-4210-03-796-03-S00N-37-P-V-MAJOR WORKS,10000000.00,0.00,0.00,10000000.00,10000000.00,0.00
,31-4210-03-796-03-S20N-31-P-V-MACHINERY & EQUIPMENT,6000000.00,0.00,0.00,6000000.00,0.00,6000000.00
,31-4210-03-796-03-S20N-37-P-V-MAJOR WORKS,3000000.00,0.00,0.00,3000000.00,3000000.00,0.00
,31-4210-03-796-04-C00N-31-N-V-MACHINERY & EQUIPMENT,10000.00,0.00,10000.00,0.00,0.00,0.00
,31-4210-03-796-04-C00N-37-N-V-MAJOR WORKS,90000.00,0.00,90000.00,0.00,0.00,0.00
,31-4210-03-796-04-S00N-31-P-V-MACHINERY & EQUIPMENT,9300000.00,11200000.00,0.00,20500000.00,6975000.00,13525000.00
,31-4210-03-796-04-S00N-37-P-V-MAJOR WORKS,6900000.00,0.00,0.00,6900000.00,6900000.00,0.00
,31-4210-03-796-05-S00N-31-P-V-MACHINERY & EQUIPMENT,4000000.00,0.00,0.00,4000000.00,4000000.00,0.00
,31-4210-03-796-05-S00N-37-P-V-MAJOR WORKS,5000000.00,0.00,0.00,5000000.00,3716720.00,1283280.00
,31-4210-03-796-06-S00N-31-P-V-MACHINERY & EQUIPMENT,3000000.00,0.00,0.00,3000000.00,2999996.00,4.00
,31-4210-03-796-06-S00N-37-P-V-MAJOR WORKS,6000000.00,0.00,0.00,6000000.00,6000000.00,0.00
,31-4210-03-796-07-S00N-31-P-V-MACHINERY & EQUIPMENT,1600000.00,0.00,0.00,1600000.00,1592781.00,7219.00
,31-4210-03-796-07-S00N-37-N-V-MAJOR WORKS,2000000.00,0.00,0.00,2000000.00,2000000.00,0.00
,31-4210-03-796-08-C00N-31-N-V-MACHINERY & EQUIPMENT,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4210-03-796-08-S00N-31-P-V-MACHINERY & EQUIPMENT,2000000.00,0.00,0.00,2000000.00,1600797.00,399203.00
,31-4215-01-796-01-S00N-37-P-V-MAJOR WORKS,223700000.00,540000.00,70388000.00,153852000.00,0.00,153852000.00
,31-4215-01-796-02-S00N-37-P-V-MAJOR WORKS,3100000.00,220000.00,100000.00,3220000.00,0.00,3220000.00
,31-4215-01-796-03-S00N-37-P-V-MAJOR WORKS,26500000.00,29333000.00,0.00,55833000.00,0.00,55833000.00
,31-4215-01-796-09-S00N-37-P-V-MAJOR WORKS,169200000.00,0.00,159994000.00,9206000.00,0.00,9206000.00
,31-4215-01-796-14-C90N-37-P-V-MAJOR WORKS,360000000.00,0.00,178239000.00,181761000.00,181761000.00,0.00
,31-4215-01-796-14-S10N-37-P-V-MAJOR WORKS,36000000.00,13477000.00,0.00,49477000.00,49477000.00,0.00
,31-4215-01-796-17-S00N-37-N-V-MAJOR WORKS,18000000.00,11924000.00,0.00,29924000.00,0.00,29924000.00
,31-4216-01-796-02-S00N-37-P-V-MAJOR WORKS,136700000.00,0.00,76412000.00,60288000.00,0.00,60288000.00
,31-4216-01-796-03-S00N-37-P-V-MAJOR WORKS,12000000.00,2230000.00,350000.00,13880000.00,13202846.00,677154.00
,31-4216-01-796-05-S00N-37-P-V-MAJOR WORKS,0.00,100000.00,0.00,100000.00,0.00,100000.00
,31-4216-01-796-09-S00N-37-P-V-MAJOR WORKS,10800000.00,0.00,0.00,10800000.00,0.00,10800000.00
,31-4225-02-796-01-C50N-43-P-V-INVESTMENT,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4225-02-796-01-S00N-43-P-V-INVESTMENT,4800000.00,0.00,0.00,4800000.00,4800000.00,0.00
,31-4225-02-796-01-S50N-43-N-V-INVESTMENT,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4225-02-796-02-S00N-37-P-V-MAJOR WORKS,600000.00,0.00,0.00,600000.00,0.00,600000.00
,31-4235-02-796-01-C90N-37-P-V-MAJOR WORKS,700000.00,0.00,0.00,700000.00,0.00,700000.00
,31-4235-02-796-01-S10N-37-P-V-MAJOR WORKS,100000.00,0.00,0.00,100000.00,0.00,100000.00
,31-4235-02-796-02-S00N-37-P-V-MAJOR WORKS,1600000.00,0.00,1500000.00,100000.00,0.00,100000.00
,31-4401-00-796-01-A00S-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4401-00-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4401-00-796-01-S00N-37-P-V-MAJOR WORKS,5000000.00,0.00,2450000.00,2550000.00,2549000.00,1000.00
,31-4401-00-796-02-S00N-37-P-V-MAJOR WORKS,5000000.00,700000.00,0.00,5700000.00,5699970.00,30.00
,31-4402-00-796-01-S00N-37-P-V-MAJOR WORKS,19800000.00,3000000.00,0.00,22800000.00,15892817.00,6907183.00
,31-4403-00-796-01-A00S-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4403-00-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4403-00-796-01-S00N-37-P-V-MAJOR WORKS,37500000.00,2711000.00,3488000.00,36723000.00,36722941.00,59.00
,31-4405-00-796-01-S00N-37-P-V-MAJOR WORKS,5900000.00,0.00,0.00,5900000.00,5900000.00,0.00
,31-4406-01-796-01-S00N-37-N-V-MAJOR WORKS,20100000.00,21671000.00,0.00,41771000.00,38754051.00,3016949.00
,31-4406-01-796-02-S00N-37-P-V-MAJOR WORKS,19600000.00,7158000.00,0.00,26758000.00,25973295.00,784705.00
,31-4408-02-796-01-S00N-37-P-V-MAJOR WORKS,100000.00,0.00,0.00,100000.00,100000.00,0.00
,31-4408-02-796-02-S00N-43-P-V-INVESTMENT,50000.00,0.00,50000.00,0.00,0.00,0.00
,31-4425-00-796-01-S00N-43-P-V-INVESTMENT,200000.00,0.00,0.00,200000.00,200000.00,0.00
,31-4515-00-796-01-S00N-37-N-V-MAJOR WORKS,800000.00,0.00,800000.00,0.00,0.00,0.00
,31-4515-00-796-02-C00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4515-00-796-02-S00N-37-N-V-MAJOR WORKS,14700000.00,166148000.00,0.00,180848000.00,180848000.00,0.00
,31-4702-00-796-01-S00N-37-P-V-MAJOR WORKS,5100000.00,12037000.00,0.00,17137000.00,0.00,17137000.00
,31-4702-00-796-02-S00N-37-P-V-MAJOR WORKS,112200000.00,34218000.00,4155000.00,142263000.00,0.00,142263000.00
,31-4702-00-796-06-S00N-37-P-V-MAJOR WORKS,70000000.00,0.00,18790000.00,51210000.00,0.00,51210000.00
,31-4702-00-796-08-C90N-37-P-V-MAJOR WORKS,40010000.00,0.00,0.00,40010000.00,0.00,40010000.00
,31-4702-00-796-08-S10N-37-P-V-MAJOR WORKS,5100000.00,0.00,0.00,5100000.00,0.00,5100000.00
,31-4702-00-796-10-C90N-37-P-V-MAJOR WORKS,70090000.00,0.00,0.00,70090000.00,0.00,70090000.00
,31-4702-00-796-10-S10N-37-P-V-MAJOR WORKS,13000000.00,0.00,0.00,13000000.00,0.00,13000000.00
,31-4705-00-796-01-C90N-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4705-00-796-01-S00N-37-P-V-MAJOR WORKS,43800000.00,0.00,20672000.00,23128000.00,0.00,23128000.00
,31-4705-00-796-01-S10N-37-P-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-4711-01-796-01-S00N-37-P-V-MAJOR WORKS,83600000.00,27949000.00,7949000.00,103600000.00,0.00,103600000.00
,31-4711-01-796-02-S00N-37-P-V-MAJOR WORKS,9900000.00,0.00,3300000.00,6600000.00,0.00,6600000.00
,31-4801-01-796-02-S00N-43-P-V-INVESTMENT,143900000.00,0.00,0.00,143900000.00,143900000.00,0.00
,31-4801-01-796-06-S00N-43-P-V-INVESTMENT,30000000.00,0.00,0.00,30000000.00,30000000.00,0.00
,31-4801-01-796-07-S00N-43-P-V-INVESTMENT,62500000.00,0.00,0.00,62500000.00,62500000.00,0.00
,31-4801-01-796-08-S00N-43-N-V-INVESTMENT,100000.00,0.00,0.00,100000.00,0.00,100000.00
,31-4851-00-796-03-S00N-43-P-V-INVESTMENT,50000.00,150000.00,0.00,200000.00,200000.00,0.00
,31-4851-00-796-05-S00N-37-P-V-MAJOR WORKS,16800000.00,0.00,11800000.00,5000000.00,0.00,5000000.00
,31-5053-80-796-02-S00N-37-P-V-MAJOR WORKS,7000000.00,400000.00,0.00,7400000.00,7400000.00,0.00
,31-5053-80-796-03-S00N-37-N-V-MAJOR WORKS,815000000.00,0.00,0.00,815000000.00,0.00,815000000.00
,31-5054-04-796-01-S00N-37-P-V-MAJOR WORKS,346500000.00,69372000.00,0.00,415872000.00,0.00,415872000.00
,31-5054-04-796-02-C90N-37-P-V-MAJOR WORKS,486000000.00,144000000.00,0.00,630000000.00,630000000.00,0.00
,31-5054-04-796-02-S10N-37-P-V-MAJOR WORKS,54000000.00,0.00,0.00,54000000.00,54000000.00,0.00
,31-5054-04-796-03-S00N-37-P-V-MAJOR WORKS,186000000.00,0.00,130719000.00,55281000.00,0.00,55281000.00
,31-5054-04-796-04-S00N-29-N-V-COMPENSATIONS,18000000.00,154449000.00,0.00,172449000.00,0.00,172449000.00
,31-5054-04-796-07-S00N-37-P-V-MAJOR WORKS,19700000.00,1000000.00,0.00,20700000.00,0.00,20700000.00
,31-5054-04-796-08-C00N-37-P-V-MAJOR WORKS,99000000.00,0.00,99000000.00,0.00,0.00,0.00
,31-5054-04-796-09-S00N-37-P-V-MAJOR WORKS,3600000.00,0.00,500000.00,3100000.00,0.00,3100000.00
,31-5054-04-796-10-S00N-37-P-V-MAJOR WORKS,9000000.00,0.00,0.00,9000000.00,0.00,9000000.00
,31-5054-04-796-11-S00N-37-N-V-MAJOR WORKS,45000000.00,5000000.00,2198000.00,47802000.00,0.00,47802000.00
,31-5054-04-796-12-S00N-37-N-V-MAJOR WORKS,45000000.00,0.00,0.00,45000000.00,0.00,45000000.00
,31-5054-80-796-03-S00N-31-P-V-MACHINERY & EQUIPMENT,20700000.00,0.00,0.00,20700000.00,0.00,20700000.00
,31-5054-80-796-05-S00N-37-P-V-MAJOR WORKS,68400000.00,1611000.00,6497000.00,63514000.00,0.00,63514000.00
,31-5054-80-796-09-S00N-37-P-V-MAJOR WORKS,279000000.00,0.00,215000000.00,64000000.00,0.00,64000000.00
,31-5055-00-796-01-S00N-43-P-V-INVESTMENT,63000000.00,36428000.00,0.00,99428000.00,99428000.00,0.00
,31-5055-00-796-02-C00N-37-N-V-MAJOR WORKS,0.00,2500000.00,0.00,2500000.00,2500000.00,0.00
,31-5055-00-796-02-S00N-37-P-V-MAJOR WORKS,15800000.00,13210000.00,0.00,29010000.00,29010000.00,0.00
,31-5056-00-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-5056-00-796-01-S00N-37-N-V-MAJOR WORKS,900000.00,0.00,0.00,900000.00,0.00,900000.00
,31-5075-60-796-01-C00N-37-N-V-MAJOR WORKS,100000.00,0.00,100000.00,0.00,0.00,0.00
,31-5075-60-796-01-S00N-43-P-V-INVESTMENT,20000000.00,4050000.00,0.00,24050000.00,24050000.00,0.00
,31-5452-01-796-01-S00N-37-N-V-MAJOR WORKS,45000000.00,20705000.00,0.00,65705000.00,65705000.00,0.00
,31-5452-80-796-01-S00N-37-P-V-MAJOR WORKS,10000000.00,1901000.00,0.00,11901000.00,11701000.00,200000.00
,31-5475-00-796-01-S00N-37-N-V-MAJOR WORKS,55000000.00,0.00,0.00,55000000.00,48713000.00,6287000.00
,31-5475-00-796-02-S00N-37-N-V-MAJOR WORKS,20000000.00,0.00,0.00,20000000.00,19759666.00,240334.00
,31-6801-00-796-10-S00N-48-P-V-LOANS,210100000.00,0.00,0.00,210100000.00,0.00,210100000.00
,31-6801-00-796-11-S00N-48-P-V-LOANS,471800000.00,0.00,0.00,471800000.00,471800000.00,0.00
32-SCHEDULED CASTES DEVELOPMENT PROGRAMME,Total,36260694000.00,5868423362.00,6155238613.00,35973878749.00,27154671072.00,8819207677.00
,32-2054-00-789-01-S00N-05-N-V-OFFICE EXPENSES,40700000.00,0.00,0.00,40700000.00,0.00,40700000.00
,32-2054-00-789-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,50000000.00,0.00,0.00,50000000.00,0.00,50000000.00
,32-2055-00-789-02-C00N-99-N-V-HONORARIUM,10700000.00,0.00,0.00,10700000.00,9534918.00,1165082.00
,32-2055-00-789-02-S00N-99-N-V-HONORARIUM,2900000.00,0.00,0.00,2900000.00,0.00,2900000.00
,32-2059-01-789-01-S00N-21-P-V-MAINTENANCE,5250000.00,0.00,0.00,5250000.00,5245200.00,4800.00
,32-2059-01-789-02-S00N-21-P-V-MAINTENANCE,48195000.00,0.00,0.00,48195000.00,44691152.00,3503848.00
,32-2059-01-789-03-S00N-21-P-V-MAINTENANCE,19995000.00,0.00,0.00,19995000.00,19556099.00,438901.00
,32-2059-01-789-04-C90N-21-P-V-MAINTENANCE,1300000.00,0.00,1300000.00,0.00,0.00,0.00
,32-2059-01-789-04-S10N-21-P-V-MAINTENANCE,200000.00,0.00,200000.00,0.00,0.00,0.00
,32-2059-80-789-02-S00N-21-P-V-MAINTENANCE,6300000.00,0.00,0.00,6300000.00,6242248.00,57752.00
,32-2059-80-789-03-S00N-21-P-V-MAINTENANCE,45675000.00,0.00,0.00,45675000.00,45604091.00,70909.00
,32-2202-01-789-01-S00N-01-P-V-SALARIES,21027000.00,0.00,3962000.00,17065000.00,14950149.00,2114851.00
,32-2202-01-789-01-S00N-02-P-V-WAGES,110000.00,0.00,0.00,110000.00,0.00,110000.00
,32-2202-01-789-01-S00N-03-P-V-TRAVEL EXPENSES,100000.00,0.00,0.00,100000.00,630.00,99370.00
,32-2202-01-789-01-S00N-05-P-V-OFFICE EXPENSES,9870000.00,0.00,2868000.00,7002000.00,5772625.00,1229375.00
,32-2202-01-789-01-S00N-06-P-V-MEDICAL REIMBURSEMENT,315000.00,0.00,0.00,315000.00,8850.00,306150.00
,32-2202-01-789-01-S00N-33-P-V-MATERIAL AND SUPPLY,50000000.00,0.00,0.00,50000000.00,50000000.00,0.00
,32-2202-01-789-03-S00N-01-P-V-SALARIES,106859000.00,0.00,9056000.00,97803000.00,95898375.00,1904625.00
,32-2202-01-789-03-S00N-02-P-V-WAGES,110000.00,0.00,0.00,110000.00,91200.00,18800.00
,32-2202-01-789-03-S00N-03-P-V-TRAVEL EXPENSES,130000.00,0.00,0.00,130000.00,13668.00,116332.00
,32-2202-01-789-03-S00N-05-P-V-OFFICE EXPENSES,315000.00,0.00,0.00,315000.00,27388.00,287612.00
,32-2202-01-789-03-S00N-06-P-V-MEDICAL REIMBURSEMENT,368000.00,0.00,0.00,368000.00,32043.00,335957.00
,32-2202-01-789-03-S00N-33-P-V-MATERIAL AND SUPPLY,350000.00,0.00,0.00,350000.00,350000.00,0.00
,32-2202-01-789-03-S00N-64-P-V-TRANSFER EXPENSES,30000.00,0.00,0.00,30000.00,0.00,30000.00
,32-2202-01-789-06-C90N-05-P-V-OFFICE EXPENSES,5000000.00,0.00,0.00,5000000.00,1884279.00,3115721.00
,32-2202-01-789-06-C90N-20-P-V-OTHER CHARGES,12000000.00,0.00,0.00,12000000.00,5393000.00,6607000.00
,32-2202-01-789-06-C90N-21-N-V-MAINTENANCE,0.00,12286000.00,0.00,12286000.00,12286000.00,0.00
,32-2202-01-789-06-C90N-31-P-V-MACHINERY & EQUIPMENT,800000.00,0.00,0.00,800000.00,22000.00,778000.00
,32-2202-01-789-06-C90N-33-P-V-MATERIAL AND SUPPLY,169000000.00,0.00,0.00,169000000.00,157720062.00,11279938.00
,32-2202-01-789-06-C90N-65-P-V-REMUNERATION TO OUTSOURCE EMPLOYEES,1800000.00,0.00,0.00,1800000.00,1800000.00,0.00
,32-2202-01-789-06-C90N-99-P-V-HONORARIUM,54000000.00,0.00,0.00,54000000.00,29765383.00,24234617.00
,32-2202-01-789-06-S00N-05-N-V-OFFICE EXPENSES,0.00,6000000.00,0.00,6000000.00,5868941.00,131059.00
,32-2202-01-789-06-S00N-99-P-V-HONORARIUM,44600000.00,20400000.00,0.00,65000000.00,62230512.00,2769488.00
,32-2202-01-789-06-S10N-21-N-V-MAINTENANCE,0.00,1365000.00,0.00,1365000.00,1365000.00,0.00
,32-2202-01-789-06-S10N-31-N-V-MACHINERY & EQUIPMENT,0.00,2000.00,0.00,2000.00,2000.00,0.00
,32-2202-01-789-06-S10N-33-P-V-MATERIAL AND SUPPLY,19100000.00,0.00,0.00,19100000.00,14988969.00,4111031.00
,32-2202-01-789-06-S10N-99-P-V-HONORARIUM,5000000.00,0.00,0.00,5000000.00,3968996.00,1031004.00
